primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Turkey,0.013888888888888888,0.09722222222222222,0.1111111111111111,0.09722222222222222,0.06944444444444445,0.125,0.09722222222222222,0.06944444444444445,0.041666666666666664,0.0,0.0,0.0,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.2222222222222222
U.K,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,0.16369129360065915,0.26146663004669046,0.2002197198571821,0.1112331776984345,0.06646525679758308,0.04669046965119473,0.03350727822026916,0.023070585004119747,0.02032408678934359,0.017028288931612196,0.008788794287283713,0.006316945893985169,0.006866245536940401,0.006316945893985169,0.0035704476792090085,0.0032957978577313925,0.021148036253776436
UK [],0.0,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0
US,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.4779811595312859,0.25832886574251357,0.11871027035306732,0.053151566209695945,0.029409512139082484,0.01669602512062495,0.01079880523856935,0.007888488933139311,0.005897219882055603,0.005284521712491384,0.002527379949452401,0.0016849199663016006,0.0021444435934747643,0.0016849199663016006,0.0009190472543463276,0.0008424599831508003,0.006050394424446657
Uganda,0.0,0.125,0.08333333333333333,0.125,0.125,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25
Ukraine,0.0,0.11428571428571428,0.17142857142857143,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.0,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.3142857142857143
United Arab Emirates,0.03773584905660377,0.20754716981132076,0.1320754716981132,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.0,0.0,0.11320754716981132,0.0,0.03773584905660377,0.0,0.03773584905660377,0.07547169811320754,0.018867924528301886,0.03773584905660377,0.1320754716981132
Venezuela,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.4666666666666667
Vietnam,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.4444444444444444
and part of the Study Reporting in Predatory Journals Group,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the Netherlands,0.09780621572212066,0.21389396709323583,0.1745886654478976,0.11425959780621572,0.07038391224862889,0.06672760511882998,0.03656307129798903,0.04296160877513711,0.025594149908592323,0.031078610603290677,0.02010968921389397,0.011882998171846435,0.011882998171846435,0.013711151736745886,0.008226691042047532,0.008226691042047532,0.05210237659963437
